feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,label
0.048156738280956075,0.03106689453106038,0.016540527343649043,0.011535644531179591,0.008911132812445611,0.008300781249949336,0.009521484374941885,0.009216308593693748,0.01159667968742922,0.01062011718743518,0.013183593749919533,0.020141601562377064,0.02435302734360136,0.016296386718650534,0.01062011718743518,0.010986328124932944,0.008117675781200453,0.007568359374953806,0.007324218749955296,0.009216308593693748,0.010009765624938905,0.013305664062418789,0.015991210937402398,0.023498535156106577,0.21392822265494427,0.4299926757786255,0.1064453125,0.1083984375,0.1015625,0.0986328125,0.28125,0.1533203125,0.13671875,0.2373046875,0.2421875,0.1181640625,0.064453125,0.232421875,0.279296875,0.2314453125,0.0751953125,0.1630859375,1
0.04797363281220719,0.030395507812314478,0.01757812499989271,0.011413574218680337,0.009765624999940395,0.008178710937450082,0.009277343749943375,0.009399414062442631,0.01208496093742624,0.0111083984374322,0.01184082031242773,0.020690917968623712,0.024475097656100616,0.016052246093652023,0.010192871093687788,0.011535644531179591,0.007324218749955296,0.007690429687453061,0.007202148437456041,0.009521484374941885,0.009033203124944865,0.012878417968671396,0.017700195312391965,0.02551269531234428,0.21301269531119987,0.4281616210911367,0.09765625,0.099609375,0.1044921875,0.103515625,0.2041015625,0.1279296875,0.1728515625,0.29296875,0.236328125,0.072265625,0.11328125,0.240234375,0.189453125,0.087890625,0.2392578125,0.28125,1
0.04797363281220719,0.030395507812314478,0.01757812499989271,0.011413574218680337,0.009765624999940395,0.008178710937450082,0.009277343749943375,0.009399414062442631,0.01208496093742624,0.0111083984374322,0.01184082031242773,0.020690917968623712,0.024475097656100616,0.016052246093652023,0.010192871093687788,0.011535644531179591,0.007324218749955296,0.007690429687453061,0.007202148437456041,0.009521484374941885,0.009033203124944865,0.012878417968671396,0.017700195312391965,0.02551269531234428,0.21301269531119987,0.4281616210911367,0.28125,0.2392578125,0.07421875,0.1826171875,0.2412109375,0.11328125,0.072265625,0.236328125,0.2841796875,0.1728515625,0.1357421875,0.21484375,0.1044921875,0.1044921875,0.099609375,0.1083984375,1
0.027343749999833106,0.018737792968635633,0.011474609374929964,0.0066528320312093945,0.005920410156213865,0.006408691406210885,0.006408691406210885,0.007568359374953806,0.009826660156190022,0.010498046874935925,0.010803222656184061,0.020690917968623712,0.021179199218620732,0.03112792968731001,0.015380859374906122,0.027648925781081243,0.010498046874935925,0.0246582031248495,0.00988769531243965,0.014038085937414319,0.012939453124921023,0.02008056640612744,0.030273437499815224,0.0260009765623413,0.21191406249870656,0.40203857421629613,0.0576171875,0.03125,0.03125,0.03125,0.115234375,0.1767578125,0.123046875,0.0,0.20703125,0.1962890625,0.072265625,0.1806640625,0.2978515625,0.2421875,0.0830078125,0.2421875,1
0.04736328124971092,0.03161621093730703,0.016967773437396437,0.011291503906181081,0.009155273437444121,0.008178710937450082,0.009155273437444121,0.009582519531191512,0.01226806640617512,0.01232910156242475,0.013122558593669906,0.01904296874988377,0.02410888671860285,0.024841308593598378,0.009704589843690768,0.020141601562377064,0.007568359374953806,0.0166625976561483,0.006164550781212375,0.009216308593693748,0.009399414062442631,0.01324462890616916,0.016052246093652023,0.02386474609360434,0.18554687499886752,0.43341064452860467,0.0830078125,0.0771484375,0.0771484375,0.0791015625,0.232421875,0.130859375,0.0966796875,0.115234375,0.228515625,0.076171875,0.0576171875,0.1708984375,0.27734375,0.1806640625,0.060546875,0.119140625,1
0.04528808593722358,0.025207519531096144,0.016967773437396437,0.011169433593681827,0.008666992187447101,0.008728027343696728,0.007507324218704179,0.009765624999940395,0.010192871093687788,0.011047363281182571,0.012939453124921023,0.01904296874988377,0.02319335937485844,0.016845703124897183,0.011047363281182571,0.008361816406198963,0.007568359374953806,0.007141113281206414,0.006958007812457531,0.007690429687453061,0.009277343749943375,0.008544921874947846,0.015747070312403886,0.023254394531108065,0.28320312499827144,0.3846435546851523,0.0439453125,0.1025390625,0.1328125,0.095703125,0.30859375,0.1630859375,0.1220703125,0.2177734375,0.2138671875,0.16796875,0.056640625,0.1748046875,0.134765625,0.267578125,0.20703125,0.150390625,1
0.044738769530976934,0.027587890624831617,0.017333984374894203,0.012145996093675867,0.007629394531203434,0.009033203124944865,0.009216308593693748,0.009826660156190022,0.009582519531191512,0.009765624999940395,0.01184082031242773,0.01495361328115873,0.020324707031125946,0.018371582031137867,0.010742187499934434,0.008972167968695238,0.0066528320312093945,0.007507324218704179,0.005859374999964237,0.007812499999952316,0.008666992187447101,0.011474609374929964,0.015747070312403886,0.022277832031114025,0.2838134765607677,0.38812255859138106,0.1181640625,0.130859375,0.1015625,0.0380859375,0.251953125,0.1953125,0.166015625,0.220703125,0.216796875,0.1259765625,0.0849609375,0.2265625,0.22265625,0.158203125,0.1455078125,0.0810546875,1
0.06536865234335101,0.03833007812476605,0.019348144531131907,0.013610839843666926,0.011169433593681827,0.010009765624938905,0.009216308593693748,0.01062011718743518,0.01159667968742922,0.015075683593657985,0.01715087890614532,0.021545410156118498,0.026733398437336832,0.028381347656076774,0.01861572265613638,0.014892578124909102,0.009338378906193002,0.01135253906243071,0.0066528320312093945,0.007324218749955296,0.008117675781200453,0.011291503906181081,0.016906738281146808,0.029968261718567087,0.07482910156204328,0.4925537109344937,0.2431640625,0.1767578125,0.0849609375,0.0810546875,0.154296875,0.0498046875,0.0869140625,0.0791015625,0.1875,0.0703125,0.1904296875,0.072265625,0.1591796875,0.056640625,0.1005859375,0.08984375,1
0.06549072265585028,0.038024902343517915,0.020874023437372595,0.014160156249913573,0.01135253906243071,0.009521484374941885,0.009216308593693748,0.010253906249937415,0.0111083984374322,0.015197753906157239,0.01715087890614532,0.02239990234361328,0.026672363281087203,0.028076171874828637,0.019348144531131907,0.015808105468653515,0.009826660156190022,0.009826660156190022,0.007690429687453061,0.008178710937450082,0.008911132812445611,0.013793945312415809,0.018432617187387496,0.030761718749812244,0.048156738280956075,0.5097656249968886,0.095703125,0.123046875,0.177734375,0.232421875,0.0732421875,0.0888671875,0.044921875,0.1572265625,0.07421875,0.1708984375,0.0712890625,0.201171875,0.1748046875,0.115234375,0.046875,0.1630859375,1
0.06549072265585028,0.038024902343517915,0.020874023437372595,0.014160156249913573,0.01135253906243071,0.009521484374941885,0.009216308593693748,0.010253906249937415,0.0111083984374322,0.015197753906157239,0.01715087890614532,0.02239990234361328,0.026672363281087203,0.028076171874828637,0.019348144531131907,0.015808105468653515,0.009826660156190022,0.009826660156190022,0.007690429687453061,0.008178710937450082,0.008911132812445611,0.013793945312415809,0.018432617187387496,0.030761718749812244,0.048156738280956075,0.5097656249968886,0.1640625,0.046875,0.1162109375,0.173828125,0.2021484375,0.0712890625,0.1708984375,0.0732421875,0.15625,0.044921875,0.0888671875,0.07421875,0.2451171875,0.1787109375,0.1220703125,0.095703125,1
